# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
2.650,24.665356,24.665356,6.906555,-3.453277,100.00
2.660,24.630823,24.630823,6.900970,-3.450485,100.00
2.670,24.596318,24.596318,6.895389,-3.447694,100.00
2.680,24.561841,24.561841,6.889810,-3.444905,100.00
2.690,24.527392,24.527392,6.884236,-3.442118,100.00
2.700,24.492971,24.492971,6.878664,-3.439332,100.00
2.710,24.458578,24.458578,6.873095,-3.436548,100.00
2.720,24.424212,24.424212,7.019515,-3.509757,100.00
2.730,24.389115,24.389115,7.013687,-3.506843,100.00
2.740,24.354046,24.354046,7.007862,-3.503931,100.00
2.750,24.319007,24.319007,7.002041,-3.501020,100.00
2.760,24.283997,24.283997,6.996223,-3.498112,100.00
2.770,24.249016,24.249016,6.990409,-3.495204,100.00
2.780,24.214064,24.214064,6.984598,-3.492299,100.00
2.790,24.179141,24.179141,6.978790,-3.489395,100.00
2.800,24.144247,24.144247,7.121962,-3.560981,100.00
2.810,24.108637,24.108637,7.115893,-3.557946,100.00
2.820,24.073058,24.073058,7.109828,-3.554914,100.00
2.830,24.037508,24.037508,7.103766,-3.551883,100.00
2.840,24.001990,24.001990,7.097708,-3.548854,100.00
2.850,23.966501,23.966501,7.091654,-3.545827,100.00
2.860,23.931043,23.931043,7.085604,-3.542802,100.00
2.870,23.895615,23.895615,7.079557,-3.539779,100.00
2.880,23.860217,23.860217,7.219540,-3.609770,100.00
2.890,23.824119,23.824119,7.213230,-3.606615,100.00
2.900,23.788053,23.788053,7.206924,-3.603462,100.00
2.910,23.752018,23.752018,7.200622,-3.600311,100.00
2.920,23.716015,23.716015,7.194325,-3.597162,100.00
2.930,23.680044,23.680044,7.188031,-3.594015,100.00
2.940,23.644104,23.644104,7.181741,-3.590870,100.00
2.950,23.608195,23.608195,7.175454,-3.587727,100.00
2.960,23.572318,23.572318,7.312306,-3.656153,100.00
2.970,23.535756,23.535756,7.305756,-3.652878,100.00
2.980,23.499227,23.499227,7.299210,-3.649605,100.00
2.990,23.462731,23.462731,7.292668,-3.646334,100.00
3.000,23.426268,23.426268,7.286130,-3.643065,100.00
3.010,23.389837,23.389837,7.279596,-3.639798,100.00
3.020,23.353439,23.353439,7.273067,-3.636533,100.00
3.030,23.317074,23.317074,7.266542,-3.633271,100.00
3.040,23.280741,23.280741,7.400320,-3.700160,100.00
3.050,23.243740,23.243740,7.393530,-3.696765,100.00
3.060,23.206772,23.206772,7.386744,-3.693372,100.00
3.070,23.169838,23.169838,7.379962,-3.689981,100.00
3.080,23.132938,23.132938,7.373184,-3.686592,100.00
3.090,23.096073,23.096073,7.366411,-3.683206,100.00
3.100,23.059240,23.059240,7.359643,-3.679821,100.00
3.110,23.022442,23.022442,7.352879,-3.676439,100.00
3.120,22.985678,22.985678,7.483641,-3.741820,100.00
3.130,22.948260,22.948260,7.476611,-3.738305,100.00
3.140,22.910877,22.910877,7.469585,-3.734792,100.00
