# Primal Logic + MotorHandPro Integration
# Combined control system output
t,state,primal_control,throttle,psi,gamma,Ec,comfort
2.130,26.313261,-2.999176,89,26.343252,-2.999176,5.998351,100.00
2.140,26.283288,-2.997211,89,26.313261,-2.997211,5.994422,100.00
2.150,26.253336,-2.995247,89,26.283288,-2.995247,5.990495,100.00
2.160,26.222529,-3.080697,88,26.253336,-3.080697,6.161394,100.00
2.170,26.191743,-3.078613,88,26.222529,-3.078613,6.157225,100.00
2.180,26.160978,-3.076529,88,26.191743,-3.076529,6.153059,100.00
2.190,26.130233,-3.074447,88,26.160978,-3.074447,6.148894,100.00
2.200,26.099509,-3.072366,88,26.130233,-3.072366,6.144732,100.00
2.210,26.068807,-3.070286,88,26.099509,-3.070286,6.140571,100.00
2.220,26.038125,-3.068206,88,26.068807,-3.068206,6.136413,100.00
2.230,26.007463,-3.066128,88,26.038125,-3.066128,6.132256,100.00
2.240,25.975966,-3.149732,87,26.007463,-3.149732,6.299464,100.00
2.250,25.944491,-3.147532,87,25.975966,-3.147532,6.295063,100.00
2.260,25.913037,-3.145332,87,25.944491,-3.145332,6.290665,100.00
2.270,25.881606,-3.143134,87,25.913037,-3.143134,6.286268,100.00
2.280,25.850197,-3.140937,87,25.881606,-3.140937,6.281874,100.00
2.290,25.818809,-3.138741,87,25.850197,-3.138741,6.277482,100.00
2.300,25.787444,-3.136546,88,25.818809,-3.136546,6.273092,100.00
2.310,25.756100,-3.134352,88,25.787444,-3.134352,6.268704,100.00
2.320,25.723939,-3.216144,86,25.756100,-3.216144,6.432288,100.00
2.330,25.691800,-3.213826,87,25.723939,-3.213826,6.427652,100.00
2.340,25.659685,-3.211510,87,25.691800,-3.211510,6.423019,100.00
2.350,25.627593,-3.209194,87,25.659685,-3.209194,6.418389,100.00
2.360,25.595525,-3.206880,87,25.627593,-3.206880,6.413760,100.00
2.370,25.563479,-3.204567,87,25.595525,-3.204567,6.409134,100.00
2.380,25.531456,-3.202255,87,25.563479,-3.202255,6.404511,100.00
2.390,25.499457,-3.199945,87,25.531456,-3.199945,6.399890,100.00
2.400,25.466657,-3.279957,86,25.499457,-3.279957,6.559914,100.00
2.410,25.433882,-3.277521,86,25.466657,-3.277521,6.555043,100.00
2.420,25.401131,-3.275087,86,25.433882,-3.275087,6.550174,100.00
2.430,25.368405,-3.272654,86,25.401131,-3.272654,6.545307,100.00
2.440,25.335703,-3.270222,86,25.368405,-3.270222,6.540443,100.00
2.450,25.303025,-3.267791,86,25.335703,-3.267791,6.535582,100.00
2.460,25.270371,-3.265362,86,25.303025,-3.265362,6.530723,100.00
2.470,25.237742,-3.262934,86,25.270371,-3.262934,6.525867,100.00
2.480,25.204330,-3.341198,85,25.237742,-3.341198,6.682397,100.00
2.490,25.170943,-3.338644,85,25.204330,-3.338644,6.677288,100.00
2.500,25.137582,-3.336091,85,25.170943,-3.336091,6.672181,100.00
2.510,25.104247,-3.333539,85,25.137582,-3.333539,6.667077,100.00
2.520,25.070937,-3.330988,85,25.104247,-3.330988,6.661976,100.00
2.530,25.037653,-3.328439,85,25.070937,-3.328439,6.656878,100.00
2.540,25.004394,-3.325891,85,25.037653,-3.325891,6.651783,100.00
2.550,24.971160,-3.323345,85,25.004394,-3.323345,6.646690,100.00
2.560,24.937161,-3.399894,84,24.971160,-3.399894,6.799788,100.00
2.570,24.903189,-3.397220,84,24.937161,-3.397220,6.794440,100.00
2.580,24.869244,-3.394547,84,24.903189,-3.394547,6.789095,100.00
2.590,24.835325,-3.391876,84,24.869244,-3.391876,6.783753,100.00
2.600,24.801433,-3.389207,84,24.835325,-3.389207,6.778414,100.00
2.610,24.767568,-3.386539,84,24.801433,-3.386539,6.773077,100.00
2.620,24.733729,-3.383872,84,24.767568,-3.383872,6.767744,100.00
2.630,24.699917,-3.381207,84,24.733729,-3.381207,6.762414,100.00
2.640,24.665356,-3.456071,83,24.699917,-3.456071,6.912142,100.00
2.650,24.630823,-3.453277,83,24.665356,-3.453277,6.906555,100.00
2.660,24.596318,-3.450485,84,24.630823,-3.450485,6.900970,100.00
2.670,24.561841,-3.447694,84,24.596318,-3.447694,6.895389,100.00
2.680,24.527392,-3.444905,84,24.561841,-3.444905,6.889810,100.00
2.690,24.492971,-3.442118,84,24.527392,-3.442118,6.884236,100.00
2.700,24.458578,-3.439332,84,24.492971,-3.439332,6.878664,100.00
2.710,24.424212,-3.436548,84,24.458578,-3.436548,6.873095,100.00
